Genotype;Registration year;Type;Description
Cetmeki;NA;WOSR_++;rich in erucic acid (C22:1) and glucosinolates 
Gesunder;1974;WOSR_++;rich in erucic acid (C22:1) and glucosinolates 
Major;1971;WOSR_++;rich in erucic acid (C22:1) and glucosinolates 
Oleski;1969;WOSR_++;rich in erucic acid (C22:1) and glucosinolates 
Orleans;1965;WOSR_++;rich in erucic acid (C22:1) and glucosinolates 
Ramses;1974;WOSR_++;rich in erucic acid (C22:1) and glucosinolates 
Beryl;1983;WOSR_0+;poor in C22:1, rich in glucosinolates 
Doral;1981;WOSR_0+;poor in C22:1, rich in glucosinolates 
Emil;1981;WOSR_0+;poor in C22:1, rich in glucosinolates 
Jupiter;1982;WOSR_0+;poor in C22:1, rich in glucosinolates 
Lesira;1975;WOSR_0+;poor in C22:1, rich in glucosinolates 
Start;1979;WOSR_0+;poor in C22:1, rich in glucosinolates 
Valdor;2009;WOSR_0+;poor in C22:1, rich in glucosinolates 
Adriana;2006;WOSR_00;poor in C22:1, low in glucosinolates 
Amber;2003;WOSR_00;poor in C22:1, low in glucosinolates 
Anastasia;2011;WOSR_00;poor in C22:1, low in glucosinolates 
Angelina;2008;WOSR_00;poor in C22:1, low in glucosinolates 
Astrid;2003;WOSR_00;poor in C22:1, low in glucosinolates 
Atlantic;2004;WOSR_00;poor in C22:1, low in glucosinolates 
Aviso;2000;WOSR_00;poor in C22:1, low in glucosinolates 
Bolko - POH 285;1989;WOSR_00;poor in C22:1, low in glucosinolates 
Boston;1997;WOSR_00;poor in C22:1, low in glucosinolates 
Capitol;1995;WOSR_00;poor in C22:1, low in glucosinolates 
Courage;2000;WOSR_00;poor in C22:1, low in glucosinolates 
Doublol;1989;WOSR_00;poor in C22:1, low in glucosinolates 
ES-Agatha;2011;WOSR_00;poor in C22:1, low in glucosinolates 
ES-Antonia;2006;WOSR_00;poor in C22:1, low in glucosinolates 
ES-Centaure;2011;WOSR_00;poor in C22:1, low in glucosinolates 
Express;1992;WOSR_00;poor in C22:1, low in glucosinolates 
Inca;1991;WOSR_00;poor in C22:1, low in glucosinolates 
Jetton;1993;WOSR_00;poor in C22:1, low in glucosinolates 
Liberator;1989;WOSR_00;poor in C22:1, low in glucosinolates 
Lipton;NA;WOSR_00;poor in C22:1, low in glucosinolates 
Maccarena;2008;WOSR_00;poor in C22:1, low in glucosinolates 
Madora2-DS3;NA;WOSR_00;poor in C22:1, low in glucosinolates 
Madrigal;1999;WOSR_00;poor in C22:1, low in glucosinolates 
Mar;1991;WOSR_00;poor in C22:1, low in glucosinolates 
Milena;2000;WOSR_00;poor in C22:1, low in glucosinolates 
Mohican;1995;WOSR_00;poor in C22:1, low in glucosinolates 
Montego;2001;WOSR_00;poor in C22:1, low in glucosinolates 
NPZ-S2;NA;WOSR_00;poor in C22:1, low in glucosinolates 
Oase;2004;WOSR_00;poor in C22:1, low in glucosinolates 
OKAPI;1998;WOSR_00;poor in C22:1, low in glucosinolates 
Pendulum;2011;WOSR_00;poor in C22:1, low in glucosinolates 
Pollen;1998;WOSR_00;poor in C22:1, low in glucosinolates 
RAGT-03;2009;WOSR_00;poor in C22:1, low in glucosinolates 
RAGT-04;2008;WOSR_00;poor in C22:1, low in glucosinolates 
RAGT-07;2009;WOSR_00;poor in C22:1, low in glucosinolates 
RAGT-09;2009;WOSR_00;poor in C22:1, low in glucosinolates 
RAGT-10;2005;WOSR_00;poor in C22:1, low in glucosinolates 
Recital;2000;WOSR_00;poor in C22:1, low in glucosinolates 
Regal2-DS1;NA;WOSR_00;poor in C22:1, low in glucosinolates 
Rocket;1990;WOSR_00;poor in C22:1, low in glucosinolates 
Roxet;2003;WOSR_00;poor in C22:1, low in glucosinolates 
Sahara;2001;WOSR_00;poor in C22:1, low in glucosinolates 
SW-Gospel;2003;WOSR_00;poor in C22:1, low in glucosinolates 
SYN06;2006;WOSR_00;poor in C22:1, low in glucosinolates 
SYN12;2005;WOSR_00;poor in C22:1, low in glucosinolates 
Tasman;2005;WOSR_00;poor in C22:1, low in glucosinolates 
Tenor;1999;WOSR_00;poor in C22:1, low in glucosinolates 
Tradition;1999;WOSR_00;poor in C22:1, low in glucosinolates 
Zorro;1993;WOSR_00;poor in C22:1, low in glucosinolates 
